district,515,2011,Playground ,2015,2836
district,235,2011,Boundarywall ,2015,3214
district,515,2011,Boundarywall ,2015,3214
district,235,2011,Girls Toilet ,2015,5175
district,515,2011,Girls Toilet ,2015,5175
district,235,2011,Boys Toilet ,2015,5080
district,515,2011,Boys Toilet ,2015,5080
district,235,2011,Drinking Water ,2015,5193
district,515,2011,Drinking Water ,2015,5193
district,235,2011,Electricity ,2015,1658
district,515,2011,Electricity ,2015,1658
district,235,2011,Computer ,2015,357
district,515,2011,Computer ,2015,357
district,191,2011,Playground ,2015,2836
district,191,2011,Boundarywall ,2015,3214
district,191,2011,Girls Toilet ,2015,5175
district,191,2011,Boys Toilet ,2015,5080
district,191,2011,Drinking Water ,2015,5193
district,191,2011,Electricity ,2015,1658
district,191,2011,Computer ,2015,357
district,2,2011,Playground ,2015,482
district,2,2011,Boundarywall ,2015,494
district,2,2011,Girls Toilet ,2015,1454
district,2,2011,Boys Toilet ,2015,1443
district,2,2011,Drinking Water ,2015,1464
district,2,2011,Electricity ,2015,242
district,2,2011,Computer ,2015,203
district,556,2011,Playground ,2015,1266
district,556,2011,Boundarywall ,2015,1400
district,556,2011,Girls Toilet ,2015,1745
district,556,2011,Boys Toilet ,2015,1727
district,556,2011,Drinking Water ,2015,1788
district,556,2011,Electricity ,2015,1765
district,556,2011,Computer ,2015,512
district,63,2011,Playground ,2015,398
district,63,2011,Boundarywall ,2015,679
district,63,2011,Girls Toilet ,2015,963
district,63,2011,Boys Toilet ,2015,965
district,63,2011,Drinking Water ,2015,930
district,63,2011,Electricity ,2015,764
district,63,2011,Computer ,2015,366
district,139,2011,Playground ,2015,1123
district,139,2011,Boundarywall ,2015,1172
district,139,2011,Girls Toilet ,2015,1173
district,139,2011,Boys Toilet ,2015,1153
district,139,2011,Drinking Water ,2015,1177
district,139,2011,Electricity ,2015,818
district,139,2011,Computer ,2015,154
district,180,2011,Playground ,2015,2460
district,180,2011,Boundarywall ,2015,2336
district,180,2011,Girls Toilet ,2015,3963
district,180,2011,Boys Toilet ,2015,4038
district,180,2011,Drinking Water ,2015,4038
district,180,2011,Electricity ,2015,959
district,180,2011,Computer ,2015,299
district,324,2011,Playground ,2015,1453
district,324,2011,Boundarywall ,2015,364
district,324,2011,Girls Toilet ,2015,1344
district,324,2011,Boys Toilet ,2015,1640
district,324,2011,Drinking Water ,2015,1991
district,324,2011,Electricity ,2015,217
district,324,2011,Computer ,2015,104
district,457,2011,Playground ,2015,1936
district,457,2011,Boundarywall ,2015,1368
district,457,2011,Girls Toilet ,2015,2742
district,457,2011,Boys Toilet ,2015,3157
district,457,2011,Drinking Water ,2015,3154
district,457,2011,Electricity ,2015,577
district,457,2011,Computer ,2015,287
district,393,2011,Playground ,2015,3006
district,393,2011,Boundarywall ,2015,1755
district,393,2011,Girls Toilet ,2015,2723
district,393,2011,Boys Toilet ,2015,3316
district,393,2011,Drinking Water ,2015,3450
district,393,2011,Electricity ,2015,897
district,393,2011,Computer ,2015,280
district,377,2011,Playground ,2015,3006
district,377,2011,Boundarywall ,2015,1755
district,377,2011,Girls Toilet ,2015,2723
district,377,2011,Boys Toilet ,2015,3316
district,377,2011,Drinking Water ,2015,3450
district,377,2011,Electricity ,2015,897
district,377,2011,Computer ,2015,280
district,193,2011,Playground ,2015,3006
district,193,2011,Boundarywall ,2015,1755
district,193,2011,Girls Toilet ,2015,2723
district,193,2011,Boys Toilet ,2015,3316
district,193,2011,Drinking Water ,2015,3450
district,193,2011,Electricity ,2015,897
district,193,2011,Computer ,2015,280
district,182,2011,Playground ,2015,2454
district,182,2011,Boundarywall ,2015,1953
district,182,2011,Girls Toilet ,2015,3134
district,182,2011,Boys Toilet ,2015,4302
district,182,2011,Drinking Water ,2015,4634
district,182,2011,Electricity ,2015,681
district,182,2011,Computer ,2015,255
district,469,2011,Playground ,2015,1984
district,469,2011,Boundarywall ,2015,2567
district,469,2011,Girls Toilet ,2015,2684
district,469,2011,Boys Toilet ,2015,2660
district,469,2011,Drinking Water ,2015,2686
district,469,2011,Electricity ,2015,2676
district,469,2011,Computer ,2015,1807
district,170,2011,Playground ,2015,1842
district,170,2011,Boundarywall ,2015,1745
district,170,2011,Girls Toilet ,2015,2491
district,170,2011,Boys Toilet ,2015,2457
district,170,2011,Drinking Water ,2015,2509
district,170,2011,Electricity ,2015,744
district,170,2011,Computer ,2015,197
district,9,2011,Playground ,2015,662
district,9,2011,Boundarywall ,2015,1127
district,9,2011,Girls Toilet ,2015,1362
district,9,2011,Boys Toilet ,2015,1358
district,9,2011,Drinking Water ,2015,1365
district,9,2011,Electricity ,2015,1346
district,9,2011,Computer ,2015,396
district,572,2011,Playground ,2015,662
district,572,2011,Boundarywall ,2015,1127
district,572,2011,Girls Toilet ,2015,1362
district,572,2011,Boys Toilet ,2015,1358
district,572,2011,Drinking Water ,2015,1365
district,572,2011,Electricity ,2015,1346
district,572,2011,Computer ,2015,396
district,583,2011,Playground ,2015,662
district,583,2011,Boundarywall ,2015,1127
district,583,2011,Girls Toilet ,2015,1362
district,583,2011,Boys Toilet ,2015,1358
district,583,2011,Drinking Water ,2015,1365
district,583,2011,Electricity ,2015,1346
district,583,2011,Computer ,2015,396
district,225,2011,Playground ,2015,725
district,225,2011,Boundarywall ,2015,1075
district,225,2011,Girls Toilet ,2015,1793
district,225,2011,Boys Toilet ,2015,1885
district,225,2011,Drinking Water ,2015,1964
district,225,2011,Electricity ,2015,184
district,225,2011,Computer ,2015,117
district,339,2011,Playground ,2015,1532
district,339,2011,Boundarywall ,2015,2303
district,339,2011,Girls Toilet ,2015,5050
district,339,2011,Boys Toilet ,2015,5044
district,339,2011,Drinking Water ,2015,5158
district,339,2011,Electricity ,2015,3500
district,339,2011,Computer ,2015,462
district,125,2011,Playground ,2015,1154
district,125,2011,Boundarywall ,2015,1665
district,125,2011,Girls Toilet ,2015,3141
district,125,2011,Boys Toilet ,2015,3223
district,125,2011,Drinking Water ,2015,3393
district,125,2011,Electricity ,2015,974
district,125,2011,Computer ,2015,528
district,176,2011,Playground ,2015,681
district,176,2011,Boundarywall ,2015,514
district,176,2011,Girls Toilet ,2015,1043
district,176,2011,Boys Toilet ,2015,1525
district,176,2011,Drinking Water ,2015,2026
district,176,2011,Electricity ,2015,321
district,176,2011,Computer ,2015,241
district,8,2011,Playground ,2015,681
district,8,2011,Boundarywall ,2015,514
district,8,2011,Girls Toilet ,2015,1043
district,8,2011,Boys Toilet ,2015,1525
district,8,2011,Drinking Water ,2015,2026
district,8,2011,Electricity ,2015,321
district,8,2011,Computer ,2015,241
district,128,2011,Playground ,2015,924
district,128,2011,Boundarywall ,2015,1620
district,128,2011,Girls Toilet ,2015,2047
district,128,2011,Boys Toilet ,2015,2057
district,128,2011,Drinking Water ,2015,1964
district,128,2011,Electricity ,2015,934
district,128,2011,Computer ,2015,489
district,335,2011,Playground ,2015,2464
district,335,2011,Boundarywall ,2015,4577
district,335,2011,Girls Toilet ,2015,6106
district,335,2011,Boys Toilet ,2015,6675
district,335,2011,Drinking Water ,2015,6901
district,335,2011,Electricity ,2015,4160
district,335,2011,Computer ,2015,928
district,150,2011,Playground ,2015,3614
district,150,2011,Boundarywall ,2015,2860
district,150,2011,Girls Toilet ,2015,4222
district,150,2011,Boys Toilet ,2015,4214
district,150,2011,Drinking Water ,2015,4259
district,150,2011,Electricity ,2015,1467
district,150,2011,Computer ,2015,433
district,370,2011,Playground ,2015,686
district,370,2011,Boundarywall ,2015,1775
district,370,2011,Girls Toilet ,2015,1317
district,370,2011,Boys Toilet ,2015,2102
district,370,2011,Drinking Water ,2015,2127
district,370,2011,Electricity ,2015,626
district,370,2011,Computer ,2015,242
district,115,2011,Playground ,2015,2755
district,115,2011,Boundarywall ,2015,4740
district,115,2011,Girls Toilet ,2015,5657
district,115,2011,Boys Toilet ,2015,5602
district,115,2011,Drinking Water ,2015,5740
district,115,2011,Electricity ,2015,1939
district,115,2011,Computer ,2015,680
district,54,2011,Playground ,2015,454
district,54,2011,Boundarywall ,2015,476
district,54,2011,Girls Toilet ,2015,467
district,54,2011,Boys Toilet ,2015,469
district,54,2011,Drinking Water ,2015,478
district,54,2011,Electricity ,2015,478
district,54,2011,Computer ,2015,288
district,303,2011,Playground ,2015,1404
district,303,2011,Boundarywall ,2015,611
district,303,2011,Girls Toilet ,2015,1660
district,303,2011,Boys Toilet ,2015,2514
district,303,2011,Drinking Water ,2015,3118
district,303,2011,Electricity ,2015,588
district,303,2011,Computer ,2015,278
district,441,2011,Playground ,2015,1535
district,441,2011,Boundarywall ,2015,826
district,441,2011,Girls Toilet ,2015,2065
